EmpID,PerfScoreID,Salary,PositionID,Sex,Absences
10026,4,62506,19,M ,1
10084,3,104437,27,M ,17
10196,3,64955,20,F,3
10088,3,64991,19,F,15
10069,3,50825,19,F,2
10002,4,57568,19,F,15
10194,3,95660,24,F,19
10062,3,59365,19,M ,19
10114,3,47837,19,F,4
10250,3,50178,14,M ,16
10252,3,54670,19,F,12
10242,3,47211,19,M ,15
10012,4,92328,9,M ,9
10265,3,58709,19,M ,7
10066,3,52505,19,M ,1
10061,3,57834,19,M ,20
10023,4,70131,20,F,16
10055,3,59026,19,F,12
10245,3,110000,8,F,8
10277,3,53250,19,M ,13
10046,3,51044,19,M ,13
10226,3,64919,19,F,2
10003,4,62910,19,F,19
10294,2,66441,20,F,3
10267,3,57815,20,F,5
10199,3,103613,30,M ,2
10081,3,106367,26,F,4
10175,3,74312,18,M ,14
10177,3,53492,19,F,6
10238,3,63000,1,F,14
10184,3,65288,20,M ,9
10203,3,64375,19,F,17
10188,3,74326,3,F,19
10107,3,63763,20,F,3
10181,3,62162,20,M ,15
10150,3,77692,25,M ,4
10001,4,72640,18,M ,14
10085,3,93396,24,F,3
10115,3,52846,19,M ,14
10082,3,100031,27,F,7
10040,3,71860,3,F,7
10067,3,61656,19,F,11
10108,3,110929,5,M ,8
10210,3,54237,19,F,11
10154,3,60380,19,M ,4
10200,3,66808,3,M ,17
10240,3,64786,19,F,3
10168,3,64816,19,F,3
10220,3,68678,14,M ,2
10275,3,64066,20,F,9
10269,3,59369,20,M ,6
10029,4,50373,19,M ,5
10261,3,63108,19,M ,3
10292,2,59144,19,M ,16
10282,2,68051,18,M ,3
10019,4,170500,10,M ,15
10094,3,63381,19,F,6
10193,3,83552,9,M ,2
10132,3,56149,19,F,15
10083,3,92329,28,M ,5
10099,3,65729,21,F,8
10212,3,85028,28,F,19
10056,3,57583,19,F,1
10143,3,56294,20,M ,6
10311,1,56991,19,M ,2
10070,3,55722,19,M ,14
10155,3,101199,24,F,8
10306,1,61568,3,M ,5
10100,3,58275,20,F,1
10310,1,53189,19,M ,9
10197,3,96820,4,M ,15
10276,3,51259,19,M ,1
10304,1,59231,3,F,17
10284,2,61584,19,F,6
10207,3,46335,19,F,15
10133,3,70621,14,F,16
10028,4,138888,13,M ,4
10006,4,74241,3,F,14
10105,3,75188,18,F,4
10211,3,62514,19,F,6
10064,3,60070,19,F,7
10247,3,48888,19,M ,8
10235,3,54285,19,M ,3
10299,1,56847,20,F,5
10280,2,60340,19,M ,16
10296,2,59124,19,F,19
10290,2,99280,24,F,19
